ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Potability
8.635848719,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,0
3.716080075,129.4229205,18630.05786,6.635245884,368.5164413,592.8853591,15.18001312,56.32907628,0
8.099124189,224.2362594,19909.54173,9.275883603,368.5164413,418.6062131,16.86863693,66.42009251,0
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,1
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,0
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,0
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,0
8.635848719,118.9885791,14285.58385,7.804173553,268.6469407,389.3755659,12.70604897,53.92884577,0
11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,0
7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,0
7.974521649,218.6933005,18767.65668,8.110384501,326.6243535,364.0982305,14.5257457,76.48591118,0
7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,0
7.119824384,150.1749234,27331.36196,6.838223471,299.4157813,379.7618348,19.37080718,76.50999553,0
7.496232208,205.3449822,28388.00489,5.072557774,299.4157813,444.6453523,13.2283111,70.30021265,1
6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,0
7.0517858,211.0494061,30980.60079,10.09479601,364.4876872,315.1412672,20.39702184,56.65160379,0
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,0
8.975464348,279.3571668,19460.39813,6.204320859,398.3505168,431.44399,12.88875905,63.8212371,0
7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,1
7.371050302,227.4350484,22305.56741,10.33391789,335.7544386,554.8200865,16.33169328,45.38281518,0
6.660212026,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.04231805,0
6.660212026,215.9778587,17107.22423,5.607060453,326.9439777,436.256194,14.18906221,59.85547583,0
3.902475686,196.9032467,21167.5001,6.996311586,326.9439777,444.4788825,16.60903316,90.18167588,0
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,0
6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,0
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,0
3.445061864,145.7681806,13224.93564,7.906444721,304.0019928,298.9906665,12.72952472,49.5368488,0
3.445061864,266.4210181,26362.96501,7.70006347,395.3894903,364.4801067,10.34895076,53.00838135,0
3.445061864,148.1530614,15193.41347,9.046832707,307.0117926,563.8047433,16.56865557,52.67618503,1
7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,0
9.825489908,190.7566183,19677.89247,6.757540731,338.3364311,452.8362349,16.8990378,47.08197119,0
10.43329098,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347839,0
7.414148196,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,0
7.414148196,232.280452,14787.20626,5.474914832,387.1753165,383.981723,12.16693715,86.08072748,0
5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132,0
3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,0
5.618064406,304.2359121,17281.97517,6.101083505,286.059556,399.4715663,12.26500158,81.58899246,0
5.618064406,143.4537313,19942.27322,5.890754583,286.059556,427.1306715,22.46989199,53.12409422,0
9.267187531,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,0
9.267187531,233.8589957,11703.92391,4.599387943,309.0393204,349.3996325,18.33889255,42.67746528,0
5.331940479,194.8740654,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,59.57271371,1
7.145771545,238.6899285,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,66.13804475,0
9.920691059,202.817483,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,71.83362396,0
4.758439425,183.3494541,21568.42878,4.731348985,337.3505291,403.9441682,18.66822946,66.91240003,0
